q,operator,cascade_score,cascade_cost_usd,cascade_latency_s,paper_bq_score,paper_bq_cost_usd,paper_bq_latency_s,paper_dase_score,parallelism_used,parallelism_source
1,F,1.0,0.007450999999999999,7.981235405142303,0.59,0.04,21.2,0.94,0.03947858472998138,per_call_lat (measured)
2,F,0.6666666666666666,0.022282680000000003,5.484216301694177,0.21,3.96,55.7,0.47,0.0074624866023579855,per_call_lat (measured)
3,M,0.9394,0.037954999999999996,10.454617330803288,0.97,0.12,21.2,,0.013409234661606578,per_call_lat (defaulted_dase)
4,M,0.6703124280727537,0.17312484,18.262738853503187,0.69,0.37,31.0,,0.04936305732484077,per_call_lat (defaulted_dase)
5,C,0.9834218113056721,0.013691589999999998,5.819865125240847,0.98,0.17,25.7,0.96,0.009903660886319846,per_call_lat (defaulted_dase)
6,C,0.9552859298105925,0.15750669999999997,19.458553971486758,0.88,0.35,34.9,0.47,0.0710794297352342,per_call_lat (defaulted_dase)
7,J,0.8131313131313131,0.0904098,7.4106711065976825,0.83,0.86,45.4,0.78,0.007123803546210576,per_call_lat (measured)
8,J,1.0,0.09857711999999999,3.41257923907666,0.29,18.23,126.2,0.25,0.005547984349584561,per_call_lat (measured)
9,J,0.8363636363636363,0.069989,18.848555040359496,0.58,0.21,48.6,0.41,0.045251396648044694,per_call_lat (measured)
10,F J,0.3478260869565218,0.6500516399999999,90.10884784976855,,,,,0.04576343954233436,borrowed: 234×0.0494s (Q4) + 1645×0.0453s (Q9)
11,F J,0.4,1.6829462,131.27188535444517,,,,,0.0472237064844355,borrowed: 1287×0.0494s (Q4) + 1396×0.0453s (Q9)
12,F M,0.9586776859504132,0.08393424,32.14621523751153,0.97,0.1,31.1,0.85,0.0575925925925926,per_call_lat (measured)
13,F,0.7272727272727272,0.1319805,11.591828213797674,0.7,0.38,22.4,0.58,0.0345679012345679,per_call_lat (measured)
14,F J R,1.0,4.826273759999999,87.33316783299837,0.37,4.26,73.6,0.0,0.009570871261378414,per_call_lat (measured)
