q,operator,status,cascade_score,cascade_cost_usd,cascade_latency_s,paper_bq_score,paper_bq_cost_usd,paper_bq_latency_s,paper_dase_score,ours_bq_score,n_calls_paper,n_calls_cascade
1,M,paper_copy,1.0,0.01,14.1,1.0,0.01,14.1,,1.0,200,200
2a,J,cascade,0.5714285714285715,0.03693333333333333,28.587666666666664,0.0,0.08,53.8,0.08,0.0,1200,554
2b,J,cascade,0.5714285714285715,0.05526970954356846,21.43630705394191,0.0,0.12,38.4,0.08,0.0,1205,555
3a,F,cascade,0.7222222222222222,0.00855,20.508000000000003,0.72,0.01,19.6,0.38,0.72,200,171
3f,F,paper_copy,0.67,0.01,22.3,0.67,0.01,22.3,0.09,0.67,200,200
4,M,cascade,0.6105263157894737,0.00175,9.487499999999999,0.6,0.002,9.7,,0.6315789473684211,24,21
5,M,x_row,,,,,,,,,,
6a,F,cascade,1.0,0.00256,15.845999999999998,0.03,0.004,18.9,0.04,1.0,200,128
6b,F,cascade,0.87,0.00386,20.4445,0.04,0.004,17.3,0.01,0.8,200,193
6c,F,cascade,0.6666666666666666,0.00354,19.149,0.13,0.004,17.4,0.1,0.6666666666666666,200,177
7,J,cascade,1.0,0.040651,6.909065,0.0,1.18,91.7,0.1,0.0,40000,1378
