q,operator,cascade_score,cascade_cost_usd,cascade_latency_s,paper_bq_score,paper_bq_cost_usd,paper_bq_latency_s,paper_dase_score,parallelism_used,parallelism_source
1,F+L,1.0,0.0001267,3.8166497719209325,1.0,0.05,26.3,,0.01332995438418652,per_call_lat (defaulted_dase)
2,F+L,1.0,0.0001357,4.209868149714427,1.0,0.003,9.5,,0.08558558558558559,per_call_lat (measured)
3,F,0.823529411764706,0.0006513599999999999,6.1762547364106055,0.64,0.003,11.0,,0.0990990990990991,per_call_lat (measured)
4,F,0.8235294117647058,0.0006513599999999999,5.284832879771357,0.64,0.003,11.4,,0.06195652173913044,per_call_lat (measured)
5,J+L,0.8235294117647058,0.0006182,3.8837267927271832,0.89,1.01,54.5,,0.003335781613416575,per_call_lat (measured)
6,J+L,0.9473684210526316,0.0006552,3.8499176808237086,0.69,1.0,54.5,,0.003570726593723383,per_call_lat (measured)
7,J,0.7155336118496013,0.0009495199999999999,3.8261328410981292,0.7,3.31,198.3,,0.002187896507971534,per_call_lat (measured)
8,C,0.8918269230769231,0.0006513599999999999,4.152828868208617,0.76,0.003,10.9,,0.014789687924016283,per_call_lat (measured)
9,R,0.7465376744382732,0.0060273,12.848993301391602,0.78,0.02,13.3,,0.10390625,per_call_lat (measured)
10,R,0.41013633167792257,0.0845635,26.06480136702591,0.44,0.13,32.1,,0.017211796246648793,per_call_lat (measured)
