q,operator,cascade_score,cascade_cost_usd,cascade_latency_s,paper_bq_score,paper_bq_cost_usd,paper_bq_latency_s,paper_dase_score,parallelism_used,parallelism_source
1,F,0.7857142857142857,0.022292,10.143595123291016,0.79,0.11,32.0,,0.16,per_call_lat (measured)
2,F,0.5,0.0025753000000000004,6.188871377944946,0.19,0.01,9.4,0.83,0.188,per_call_lat (measured)
3,F,1.0,0.022292,8.968274111675125,0.0,0.11,25.7,0.0,0.13045685279187816,per_call_lat (defaulted_dase)
4,F,1.0,0.0025493,6.146078431372549,1.0,0.01,9.4,1.0,0.1843137254901961,per_call_lat (defaulted_dase)
5,J,0.8571428571428571,0.024905300000000002,6.960094637223975,0.75,0.12,19.2,1.0,0.06056782334384858,per_call_lat (defaulted_dase)
6,J,0.4,0.0622973,13.913207547169812,0.2,0.12,24.3,0.0,0.07641509433962264,per_call_lat (defaulted_dase)
7,J,1.0,0.14489799999999997,19.94240506329114,1.0,0.22,24.6,0.0,0.06227848101265823,per_call_lat (defaulted_dase)
8,J,0.7499999999999999,0.1649782,24.817213114754097,0.75,0.23,35.5,0.0,0.05819672131147541,per_call_lat (defaulted_dase)
9,J,0.4,0.062231299999999996,19.475786163522013,0.59,0.12,37.6,0.0,0.11823899371069183,per_call_lat (defaulted_dase)
10,F+G,0.25,0.055729999999999995,24.206852791878173,0.0,0.11,40.3,1.0,0.20456852791878172,per_call_lat (defaulted_dase)
